STATISTIC Label,Year,Single Year of Age,GenderCode,Sex,UNIT,VALUE,Age Group,Previous_Year_Population,Inward or Outward Flow_Immigrants: All origins,Inward or Outward Flow_Net migration,VALUE_Population,Migration_Rate
Population estimates from 1926,1996,19,1,Male,Number,31674,15-24 years old,33339.0,,,,
Population estimates from 1926,1996,19,2,Female,Number,30229,15-24 years old,31746.0,,,,
Population estimates from 1926,1996,20,1,Male,Number,31424,15-24 years old,31674.0,,,,
Population estimates from 1926,1996,20,2,Female,Number,29849,15-24 years old,30229.0,,,,
Population estimates from 1926,1996,21,1,Male,Number,30767,15-24 years old,31424.0,,,,
Population estimates from 1926,1996,21,2,Female,Number,29452,15-24 years old,29849.0,,,,
Population estimates from 1926,1996,22,1,Male,Number,29618,15-24 years old,30767.0,,,,
Population estimates from 1926,1996,22,2,Female,Number,28783,15-24 years old,29452.0,,,,
Population estimates from 1926,1996,23,1,Male,Number,29296,15-24 years old,29618.0,,,,
Population estimates from 1926,1996,23,2,Female,Number,28467,15-24 years old,28783.0,,,,
Population estimates from 1926,1996,24,1,Male,Number,28038,15-24 years old,29296.0,,,,
Population estimates from 1926,1996,24,2,Female,Number,27660,15-24 years old,28467.0,,,,
Population estimates from 1926,1996,25,1,Male,Number,27370,25-44 years old,26298.5,,,,
Population estimates from 1926,1996,25,2,Female,Number,26956,25-44 years old,26298.5,,,,
Population estimates from 1926,1996,26,1,Male,Number,26355,25-44 years old,27370.0,,,,
Population estimates from 1926,1996,26,2,Female,Number,26258,25-44 years old,26956.0,,,,
Population estimates from 1926,1996,27,1,Male,Number,25412,25-44 years old,26355.0,,,,
Population estimates from 1926,1996,27,2,Female,Number,25228,25-44 years old,26258.0,,,,
Population estimates from 1926,1996,28,1,Male,Number,24825,25-44 years old,25412.0,,,,
Population estimates from 1926,1996,28,2,Female,Number,25463,25-44 years old,25228.0,,,,
Population estimates from 1926,1996,29,1,Male,Number,25401,25-44 years old,24825.0,,,,
Population estimates from 1926,1996,29,2,Female,Number,25777,25-44 years old,25463.0,,,,
Population estimates from 1926,1996,30,1,Male,Number,25253,25-44 years old,25401.0,,,,
Population estimates from 1926,1996,30,2,Female,Number,26276,25-44 years old,25777.0,,,,
Population estimates from 1926,1996,31,1,Male,Number,25652,25-44 years old,25253.0,,,,
Population estimates from 1926,1996,31,2,Female,Number,26947,25-44 years old,26276.0,,,,
Population estimates from 1926,1996,32,1,Male,Number,25788,25-44 years old,25652.0,,,,
Population estimates from 1926,1996,32,2,Female,Number,26919,25-44 years old,26947.0,,,,
Population estimates from 1926,1996,33,1,Male,Number,25788,25-44 years old,25788.0,,,,
Population estimates from 1926,1996,33,2,Female,Number,26819,25-44 years old,26919.0,,,,
Population estimates from 1926,1996,34,1,Male,Number,25254,25-44 years old,25788.0,,,,
Population estimates from 1926,1996,34,2,Female,Number,26233,25-44 years old,26819.0,,,,
Population estimates from 1926,1996,35,1,Male,Number,26017,25-44 years old,25254.0,,,,
Population estimates from 1926,1996,35,2,Female,Number,26952,25-44 years old,26233.0,,,,
Population estimates from 1926,1996,36,1,Male,Number,25304,25-44 years old,26017.0,,,,
Population estimates from 1926,1996,36,2,Female,Number,26117,25-44 years old,26952.0,,,,
Population estimates from 1926,1996,37,1,Male,Number,24901,25-44 years old,25304.0,,,,
Population estimates from 1926,1996,37,2,Female,Number,25356,25-44 years old,26117.0,,,,
Population estimates from 1926,1996,38,1,Male,Number,24826,25-44 years old,24901.0,,,,
Population estimates from 1926,1996,38,2,Female,Number,25660,25-44 years old,25356.0,,,,
Population estimates from 1926,1996,39,1,Male,Number,25092,25-44 years old,24826.0,,,,
Population estimates from 1926,1996,39,2,Female,Number,25451,25-44 years old,25660.0,,,,
Population estimates from 1926,1996,40,1,Male,Number,24451,25-44 years old,25092.0,,,,
Population estimates from 1926,1996,40,2,Female,Number,24668,25-44 years old,25451.0,,,,
Population estimates from 1926,1996,41,1,Male,Number,24627,25-44 years old,24451.0,,,,
Population estimates from 1926,1996,41,2,Female,Number,24733,25-44 years old,24668.0,,,,
Population estimates from 1926,1996,42,1,Male,Number,23672,25-44 years old,24627.0,,,,
Population estimates from 1926,1996,42,2,Female,Number,23933,25-44 years old,24733.0,,,,
Population estimates from 1926,1996,43,1,Male,Number,24333,25-44 years old,23672.0,,,,
Population estimates from 1926,1996,43,2,Female,Number,24317,25-44 years old,23933.0,,,,
Population estimates from 1926,1996,44,1,Male,Number,22981,25-44 years old,24333.0,,,,
Population estimates from 1926,1996,44,2,Female,Number,22726,25-44 years old,24317.0,,,,
Population estimates from 1926,1996,45,1,Male,Number,22930,45-64 years old,26298.5,,,,
Population estimates from 1926,1996,45,2,Female,Number,22591,45-64 years old,26298.5,,,,
Population estimates from 1926,1996,46,1,Male,Number,22719,45-64 years old,22930.0,,,,
Population estimates from 1926,1996,46,2,Female,Number,22879,45-64 years old,22591.0,,,,
Population estimates from 1926,1996,47,1,Male,Number,22942,45-64 years old,22719.0,,,,
Population estimates from 1926,1996,47,2,Female,Number,22718,45-64 years old,22879.0,,,,
Population estimates from 1926,1996,48,1,Male,Number,22774,45-64 years old,22942.0,,,,
Population estimates from 1926,1996,48,2,Female,Number,22003,45-64 years old,22718.0,,,,
Population estimates from 1926,1996,49,1,Male,Number,22451,45-64 years old,22774.0,,,,
Population estimates from 1926,1996,49,2,Female,Number,21393,45-64 years old,22003.0,,,,
Population estimates from 1926,1996,50,1,Male,Number,21653,45-64 years old,22451.0,,,,
Population estimates from 1926,1996,50,2,Female,Number,20962,45-64 years old,21393.0,,,,
Population estimates from 1926,1996,51,1,Male,Number,19579,45-64 years old,21653.0,,,,
Population estimates from 1926,1996,51,2,Female,Number,19119,45-64 years old,20962.0,,,,
Population estimates from 1926,1996,52,1,Male,Number,18881,45-64 years old,19579.0,,,,
Population estimates from 1926,1996,52,2,Female,Number,18187,45-64 years old,19119.0,,,,
Population estimates from 1926,1996,53,1,Male,Number,17991,45-64 years old,18881.0,,,,
Population estimates from 1926,1996,53,2,Female,Number,17801,45-64 years old,18187.0,,,,
Population estimates from 1926,1996,54,1,Male,Number,16714,45-64 years old,17991.0,,,,
Population estimates from 1926,1996,54,2,Female,Number,15760,45-64 years old,17801.0,,,,
Population estimates from 1926,1996,55,1,Male,Number,15963,45-64 years old,16714.0,,,,
Population estimates from 1926,1996,55,2,Female,Number,15372,45-64 years old,15760.0,,,,
Population estimates from 1926,1996,56,1,Male,Number,16416,45-64 years old,15963.0,,,,
Population estimates from 1926,1996,56,2,Female,Number,15822,45-64 years old,15372.0,,,,
Population estimates from 1926,1996,57,1,Male,Number,15717,45-64 years old,16416.0,,,,
Population estimates from 1926,1996,57,2,Female,Number,15392,45-64 years old,15822.0,,,,
Population estimates from 1926,1996,58,1,Male,Number,14698,45-64 years old,15717.0,,,,
Population estimates from 1926,1996,58,2,Female,Number,14481,45-64 years old,15392.0,,,,
Population estimates from 1926,1996,59,1,Male,Number,15015,45-64 years old,14698.0,,,,
Population estimates from 1926,1996,59,2,Female,Number,14931,45-64 years old,14481.0,,,,
Population estimates from 1926,1996,60,1,Male,Number,14532,45-64 years old,15015.0,,,,
Population estimates from 1926,1996,60,2,Female,Number,14572,45-64 years old,14931.0,,,,
Population estimates from 1926,1996,61,1,Male,Number,13920,45-64 years old,14532.0,,,,
Population estimates from 1926,1996,61,2,Female,Number,14040,45-64 years old,14572.0,,,,
Population estimates from 1926,1996,62,1,Male,Number,13757,45-64 years old,13920.0,,,,
Population estimates from 1926,1996,62,2,Female,Number,13673,45-64 years old,14040.0,,,,
Population estimates from 1926,1996,63,1,Male,Number,13438,45-64 years old,13757.0,,,,
Population estimates from 1926,1996,63,2,Female,Number,13694,45-64 years old,13673.0,,,,
Population estimates from 1926,1996,64,1,Male,Number,13043,45-64 years old,13438.0,,,,
Population estimates from 1926,1996,64,2,Female,Number,13277,45-64 years old,13694.0,,,,
Population estimates from 1926,1996,65,1,Male,Number,12982,65 and over,26298.5,,,,
Population estimates from 1926,1996,65,2,Female,Number,13505,65 and over,26298.5,,,,
Population estimates from 1926,1996,66,1,Male,Number,12722,65 and over,12982.0,,,,
Population estimates from 1926,1996,66,2,Female,Number,13496,65 and over,13505.0,,,,
Population estimates from 1926,1996,67,1,Male,Number,11994,65 and over,12722.0,,,,
Population estimates from 1926,1996,67,2,Female,Number,13174,65 and over,13496.0,,,,
Population estimates from 1926,1996,68,1,Male,Number,11269,65 and over,11994.0,,,,
Population estimates from 1926,1996,68,2,Female,Number,13100,65 and over,13174.0,,,,
Population estimates from 1926,1996,69,1,Male,Number,11289,65 and over,11269.0,,,,
Population estimates from 1926,1996,69,2,Female,Number,13278,65 and over,13100.0,,,,
Population estimates from 1926,1996,70,1,Male,Number,10853,65 and over,11289.0,,,,
Population estimates from 1926,1996,70,2,Female,Number,13063,65 and over,13278.0,,,,
Population estimates from 1926,1996,71,1,Male,Number,10615,65 and over,10853.0,,,,
Population estimates from 1926,1996,71,2,Female,Number,12824,65 and over,13063.0,,,,
Population estimates from 1926,1996,72,1,Male,Number,10084,65 and over,10615.0,,,,
Population estimates from 1926,1996,72,2,Female,Number,12469,65 and over,12824.0,,,,
Population estimates from 1926,1996,73,1,Male,Number,9669,65 and over,10084.0,,,,
Population estimates from 1926,1996,73,2,Female,Number,12512,65 and over,12469.0,,,,
Population estimates from 1926,1996,74,1,Male,Number,8903,65 and over,9669.0,,,,
Population estimates from 1926,1996,74,2,Female,Number,11550,65 and over,12512.0,,,,
Population estimates from 1926,1996,75,1,Male,Number,8677,65 and over,8903.0,,,,
Population estimates from 1926,1996,75,2,Female,Number,11480,65 and over,11550.0,,,,
Population estimates from 1926,1996,76,1,Male,Number,7953,65 and over,8677.0,,,,
Population estimates from 1926,1996,76,2,Female,Number,10797,65 and over,11480.0,,,,
Population estimates from 1926,1996,77,1,Male,Number,6953,65 and over,7953.0,,,,
Population estimates from 1926,1996,77,2,Female,Number,9657,65 and over,10797.0,,,,
Population estimates from 1926,1996,78,1,Male,Number,5842,65 and over,6953.0,,,,
Population estimates from 1926,1996,78,2,Female,Number,8236,65 and over,9657.0,,,,
Population estimates from 1926,1996,79,1,Male,Number,5803,65 and over,5842.0,,,,
Population estimates from 1926,1996,79,2,Female,Number,8699,65 and over,8236.0,,,,
Population estimates from 1926,1996,80,1,Male,Number,5285,65 and over,5803.0,,,,
Population estimates from 1926,1996,80,2,Female,Number,7907,65 and over,8699.0,,,,
Population estimates from 1926,1996,81,1,Male,Number,4781,65 and over,5285.0,,,,
Population estimates from 1926,1996,81,2,Female,Number,7833,65 and over,7907.0,,,,
Population estimates from 1926,1996,82,1,Male,Number,4107,65 and over,4781.0,,,,
Population estimates from 1926,1996,82,2,Female,Number,7092,65 and over,7833.0,,,,
Population estimates from 1926,1996,83,1,Male,Number,3652,65 and over,4107.0,,,,
Population estimates from 1926,1996,83,2,Female,Number,6389,65 and over,7092.0,,,,
Population estimates from 1926,1996,84,1,Male,Number,3249,65 and over,3652.0,,,,
Population estimates from 1926,1996,84,2,Female,Number,5476,65 and over,6389.0,,,,
Population estimates from 1926,1996,85,1,Male,Number,2542,65 and over,3249.0,,,,
Population estimates from 1926,1996,85,2,Female,Number,4862,65 and over,5476.0,,,,
Population estimates from 1926,1996,86,1,Male,Number,1975,65 and over,2542.0,,,,
Population estimates from 1926,1996,86,2,Female,Number,4026,65 and over,4862.0,,,,
Population estimates from 1926,1996,87,1,Male,Number,1498,65 and over,1975.0,,,,
Population estimates from 1926,1996,87,2,Female,Number,3253,65 and over,4026.0,,,,
Population estimates from 1926,1996,88,1,Male,Number,1154,65 and over,1498.0,,,,
Population estimates from 1926,1996,88,2,Female,Number,2608,65 and over,3253.0,,,,
Population estimates from 1926,1996,89,1,Male,Number,894,65 and over,1154.0,,,,
Population estimates from 1926,1996,89,2,Female,Number,2240,65 and over,2608.0,,,,
Population estimates from 1926,1996,90,1,Male,Number,695,65 and over,894.0,,,,
Population estimates from 1926,1996,90,2,Female,Number,1822,65 and over,2240.0,,,,
Population estimates from 1926,1996,91,1,Male,Number,562,65 and over,695.0,,,,
Population estimates from 1926,1996,91,2,Female,Number,1398,65 and over,1822.0,,,,
Population estimates from 1926,1996,92,1,Male,Number,348,65 and over,562.0,,,,
Population estimates from 1926,1996,92,2,Female,Number,1117,65 and over,1398.0,,,,
Population estimates from 1926,1996,93,1,Male,Number,270,65 and over,348.0,,,,
Population estimates from 1926,1996,93,2,Female,Number,841,65 and over,1117.0,,,,
Population estimates from 1926,1996,94,1,Male,Number,208,65 and over,270.0,,,,
Population estimates from 1926,1996,94,2,Female,Number,572,65 and over,841.0,,,,
Population estimates from 1926,1996,95,1,Male,Number,132,65 and over,208.0,,,,
Population estimates from 1926,1996,95,2,Female,Number,467,65 and over,572.0,,,,
Population estimates from 1926,1996,96,1,Male,Number,94,65 and over,132.0,,,,
Population estimates from 1926,1996,96,2,Female,Number,268,65 and over,467.0,,,,
Population estimates from 1926,1996,97,1,Male,Number,57,65 and over,94.0,,,,
Population estimates from 1926,1996,97,2,Female,Number,183,65 and over,268.0,,,,
Population estimates from 1926,1996,98,1,Male,Number,25,65 and over,57.0,,,,
Population estimates from 1926,1996,98,2,Female,Number,117,65 and over,183.0,,,,
Population estimates from 1926,1996,99,1,Male,Number,116,65 and over,25.0,,,,
Population estimates from 1926,1996,99,2,Female,Number,319,65 and over,117.0,,,,
Population estimates from 1926,1997,0,1,Male,Number,26077,0-14 years old,35771.0,,,,
Population estimates from 1926,1997,0,2,Female,Number,24414,0-14 years old,33983.0,,,,
Population estimates from 1926,1997,1,1,Male,Number,25610,0-14 years old,26077.0,,,,
Population estimates from 1926,1997,1,2,Female,Number,23986,0-14 years old,24414.0,,,,
Population estimates from 1926,1997,2,1,Male,Number,25203,0-14 years old,25610.0,,,,
Population estimates from 1926,1997,2,2,Female,Number,23833,0-14 years old,23986.0,,,,
Population estimates from 1926,1997,3,1,Male,Number,25580,0-14 years old,25203.0,,,,
Population estimates from 1926,1997,3,2,Female,Number,24109,0-14 years old,23833.0,,,,
Population estimates from 1926,1997,4,1,Male,Number,26209,0-14 years old,25580.0,,,,
Population estimates from 1926,1997,4,2,Female,Number,25007,0-14 years old,24109.0,,,,
Population estimates from 1926,1997,5,1,Male,Number,27536,0-14 years old,26209.0,,,,
Population estimates from 1926,1997,5,2,Female,Number,26345,0-14 years old,25007.0,,,,
Population estimates from 1926,1997,6,1,Male,Number,28594,0-14 years old,27536.0,,,,
Population estimates from 1926,1997,6,2,Female,Number,26901,0-14 years old,26345.0,,,,
Population estimates from 1926,1997,7,1,Male,Number,28508,0-14 years old,28594.0,,,,
Population estimates from 1926,1997,7,2,Female,Number,27168,0-14 years old,26901.0,,,,
Population estimates from 1926,1997,8,1,Male,Number,28184,0-14 years old,28508.0,,,,
Population estimates from 1926,1997,8,2,Female,Number,27018,0-14 years old,27168.0,,,,
Population estimates from 1926,1997,9,1,Male,Number,29401,0-14 years old,28184.0,,,,
Population estimates from 1926,1997,9,2,Female,Number,28274,0-14 years old,27018.0,,,,
Population estimates from 1926,1997,10,1,Male,Number,31329,0-14 years old,29401.0,,,,
Population estimates from 1926,1997,10,2,Female,Number,29322,0-14 years old,28274.0,,,,
Population estimates from 1926,1997,11,1,Male,Number,31729,0-14 years old,31329.0,,,,
Population estimates from 1926,1997,11,2,Female,Number,29989,0-14 years old,29322.0,,,,
Population estimates from 1926,1997,12,1,Male,Number,32206,0-14 years old,31729.0,,,,
Population estimates from 1926,1997,12,2,Female,Number,30335,0-14 years old,29989.0,,,,
Population estimates from 1926,1997,13,1,Male,Number,33264,0-14 years old,32206.0,,,,
Population estimates from 1926,1997,13,2,Female,Number,31584,0-14 years old,30335.0,,,,
Population estimates from 1926,1997,14,1,Male,Number,35019,0-14 years old,33264.0,,,,
Population estimates from 1926,1997,14,2,Female,Number,33248,0-14 years old,31584.0,,,,
Population estimates from 1926,1997,15,1,Male,Number,35726,15-24 years old,28038.0,,,,
Population estimates from 1926,1997,15,2,Female,Number,34040,15-24 years old,27660.0,,,,
Population estimates from 1926,1997,16,1,Male,Number,36823,15-24 years old,35726.0,,,,
Population estimates from 1926,1997,16,2,Female,Number,34827,15-24 years old,34040.0,,,,
Population estimates from 1926,1997,17,1,Male,Number,37137,15-24 years old,36823.0,,,,
Population estimates from 1926,1997,17,2,Female,Number,34915,15-24 years old,34827.0,,,,
Population estimates from 1926,1997,18,1,Male,Number,33986,15-24 years old,37137.0,,,,
Population estimates from 1926,1997,18,2,Female,Number,33050,15-24 years old,34915.0,,,,
Population estimates from 1926,1997,19,1,Male,Number,32507,15-24 years old,33986.0,,,,
Population estimates from 1926,1997,19,2,Female,Number,30736,15-24 years old,33050.0,,,,
Population estimates from 1926,1997,20,1,Male,Number,31100,15-24 years old,32507.0,,,,
Population estimates from 1926,1997,20,2,Female,Number,30318,15-24 years old,30736.0,,,,
Population estimates from 1926,1997,21,1,Male,Number,31303,15-24 years old,31100.0,,,,
Population estimates from 1926,1997,21,2,Female,Number,29920,15-24 years old,30318.0,,,,
Population estimates from 1926,1997,22,1,Male,Number,30518,15-24 years old,31303.0,,,,
Population estimates from 1926,1997,22,2,Female,Number,29200,15-24 years old,29920.0,,,,
Population estimates from 1926,1997,23,1,Male,Number,29345,15-24 years old,30518.0,,,,
Population estimates from 1926,1997,23,2,Female,Number,28170,15-24 years old,29200.0,,,,
Population estimates from 1926,1997,24,1,Male,Number,29005,15-24 years old,29345.0,,,,
Population estimates from 1926,1997,24,2,Female,Number,28271,15-24 years old,28170.0,,,,
Population estimates from 1926,1997,25,1,Male,Number,28436,25-44 years old,22981.0,,,,
Population estimates from 1926,1997,25,2,Female,Number,28040,25-44 years old,22726.0,,,,
Population estimates from 1926,1997,26,1,Male,Number,27052,25-44 years old,28436.0,,,,
Population estimates from 1926,1997,26,2,Female,Number,27175,25-44 years old,28040.0,,,,
Population estimates from 1926,1997,27,1,Male,Number,26019,25-44 years old,27052.0,,,,
Population estimates from 1926,1997,27,2,Female,Number,26370,25-44 years old,27175.0,,,,
Population estimates from 1926,1997,28,1,Male,Number,25575,25-44 years old,26019.0,,,,
Population estimates from 1926,1997,28,2,Female,Number,25417,25-44 years old,26370.0,,,,
Population estimates from 1926,1997,29,1,Male,Number,24872,25-44 years old,25575.0,,,,
Population estimates from 1926,1997,29,2,Female,Number,25458,25-44 years old,25417.0,,,,
Population estimates from 1926,1997,30,1,Male,Number,25307,25-44 years old,24872.0,,,,
Population estimates from 1926,1997,30,2,Female,Number,25975,25-44 years old,25458.0,,,,
Population estimates from 1926,1997,31,1,Male,Number,25698,25-44 years old,25307.0,,,,
Population estimates from 1926,1997,31,2,Female,Number,26766,25-44 years old,25975.0,,,,
Population estimates from 1926,1997,32,1,Male,Number,26190,25-44 years old,25698.0,,,,
Population estimates from 1926,1997,32,2,Female,Number,27676,25-44 years old,26766.0,,,,
Population estimates from 1926,1997,33,1,Male,Number,26390,25-44 years old,26190.0,,,,
Population estimates from 1926,1997,33,2,Female,Number,27261,25-44 years old,27676.0,,,,
Population estimates from 1926,1997,34,1,Male,Number,26348,25-44 years old,26390.0,,,,
Population estimates from 1926,1997,34,2,Female,Number,27500,25-44 years old,27261.0,,,,
Population estimates from 1926,1997,35,1,Male,Number,25907,25-44 years old,26348.0,,,,
Population estimates from 1926,1997,35,2,Female,Number,26618,25-44 years old,27500.0,,,,
Population estimates from 1926,1997,36,1,Male,Number,26516,25-44 years old,25907.0,,,,
Population estimates from 1926,1997,36,2,Female,Number,27319,25-44 years old,26618.0,,,,
Population estimates from 1926,1997,37,1,Male,Number,25746,25-44 years old,26516.0,,,,
Population estimates from 1926,1997,37,2,Female,Number,26592,25-44 years old,27319.0,,,,
Population estimates from 1926,1997,38,1,Male,Number,25275,25-44 years old,25746.0,,,,
Population estimates from 1926,1997,38,2,Female,Number,25714,25-44 years old,26592.0,,,,
Population estimates from 1926,1997,39,1,Male,Number,25238,25-44 years old,25275.0,,,,
Population estimates from 1926,1997,39,2,Female,Number,25789,25-44 years old,25714.0,,,,
Population estimates from 1926,1997,40,1,Male,Number,25359,25-44 years old,25238.0,,,,
Population estimates from 1926,1997,40,2,Female,Number,25670,25-44 years old,25789.0,,,,
Population estimates from 1926,1997,41,1,Male,Number,24766,25-44 years old,25359.0,,,,
Population estimates from 1926,1997,41,2,Female,Number,24868,25-44 years old,25670.0,,,,
Population estimates from 1926,1997,42,1,Male,Number,24740,25-44 years old,24766.0,,,,
Population estimates from 1926,1997,42,2,Female,Number,24920,25-44 years old,24868.0,,,,
Population estimates from 1926,1997,43,1,Male,Number,23785,25-44 years old,24740.0,,,,
Population estimates from 1926,1997,43,2,Female,Number,24126,25-44 years old,24920.0,,,,
Population estimates from 1926,1997,44,1,Male,Number,24677,25-44 years old,23785.0,,,,
Population estimates from 1926,1997,44,2,Female,Number,24451,25-44 years old,24126.0,,,,
Population estimates from 1926,1997,45,1,Male,Number,23112,45-64 years old,13043.0,,,,
Population estimates from 1926,1997,45,2,Female,Number,22857,45-64 years old,13277.0,,,,
Population estimates from 1926,1997,46,1,Male,Number,22881,45-64 years old,23112.0,,,,
Population estimates from 1926,1997,46,2,Female,Number,22716,45-64 years old,22857.0,,,,
Population estimates from 1926,1997,47,1,Male,Number,22945,45-64 years old,22881.0,,,,
Population estimates from 1926,1997,47,2,Female,Number,22903,45-64 years old,22716.0,,,,
Population estimates from 1926,1997,48,1,Male,Number,23105,45-64 years old,22945.0,,,,
Population estimates from 1926,1997,48,2,Female,Number,22813,45-64 years old,22903.0,,,,
Population estimates from 1926,1997,49,1,Male,Number,22806,45-64 years old,23105.0,,,,
Population estimates from 1926,1997,49,2,Female,Number,22087,45-64 years old,22813.0,,,,
Population estimates from 1926,1997,50,1,Male,Number,22523,45-64 years old,22806.0,,,,
Population estimates from 1926,1997,50,2,Female,Number,21461,45-64 years old,22087.0,,,,
Population estimates from 1926,1997,51,1,Male,Number,21801,45-64 years old,22523.0,,,,
Population estimates from 1926,1997,51,2,Female,Number,20969,45-64 years old,21461.0,,,,
Population estimates from 1926,1997,52,1,Male,Number,19560,45-64 years old,21801.0,,,,
Population estimates from 1926,1997,52,2,Female,Number,19186,45-64 years old,20969.0,,,,
Population estimates from 1926,1997,53,1,Male,Number,18860,45-64 years old,19560.0,,,,
Population estimates from 1926,1997,53,2,Female,Number,18106,45-64 years old,19186.0,,,,
Population estimates from 1926,1997,54,1,Male,Number,18024,45-64 years old,18860.0,,,,
Population estimates from 1926,1997,54,2,Female,Number,17832,45-64 years old,18106.0,,,,
Population estimates from 1926,1997,55,1,Male,Number,16656,45-64 years old,18024.0,,,,
Population estimates from 1926,1997,55,2,Female,Number,15761,45-64 years old,17832.0,,,,
Population estimates from 1926,1997,56,1,Male,Number,15792,45-64 years old,16656.0,,,,
Population estimates from 1926,1997,56,2,Female,Number,15333,45-64 years old,15761.0,,,,
Population estimates from 1926,1997,57,1,Male,Number,16392,45-64 years old,15792.0,,,,
Population estimates from 1926,1997,57,2,Female,Number,15869,45-64 years old,15333.0,,,,
Population estimates from 1926,1997,58,1,Male,Number,15686,45-64 years old,16392.0,,,,
Population estimates from 1926,1997,58,2,Female,Number,15476,45-64 years old,15869.0,,,,
Population estimates from 1926,1997,59,1,Male,Number,14666,45-64 years old,15686.0,,,,
Population estimates from 1926,1997,59,2,Female,Number,14453,45-64 years old,15476.0,,,,
Population estimates from 1926,1997,60,1,Male,Number,14929,45-64 years old,14666.0,,,,
Population estimates from 1926,1997,60,2,Female,Number,14934,45-64 years old,14453.0,,,,
Population estimates from 1926,1997,61,1,Male,Number,14591,45-64 years old,14929.0,,,,
Population estimates from 1926,1997,61,2,Female,Number,14521,45-64 years old,14934.0,,,,
Population estimates from 1926,1997,62,1,Male,Number,13785,45-64 years old,14591.0,,,,
Population estimates from 1926,1997,62,2,Female,Number,14097,45-64 years old,14521.0,,,,
Population estimates from 1926,1997,63,1,Male,Number,13578,45-64 years old,13785.0,,,,
Population estimates from 1926,1997,63,2,Female,Number,13582,45-64 years old,14097.0,,,,
Population estimates from 1926,1997,64,1,Male,Number,13307,45-64 years old,13578.0,,,,
Population estimates from 1926,1997,64,2,Female,Number,13622,45-64 years old,13582.0,,,,
Population estimates from 1926,1997,65,1,Male,Number,12874,65 and over,116.0,,,,
Population estimates from 1926,1997,65,2,Female,Number,13240,65 and over,319.0,,,,
