STATISTIC Label,Year,Single Year of Age,C02199V02655,Sex,UNIT,VALUE,Age Group
Population estimates from 1926,1997,14,2,Female,Number,33248,0-14 years old
Population estimates from 1926,1997,15,1,Male,Number,35726,15-24 years old
Population estimates from 1926,1997,15,2,Female,Number,34040,15-24 years old
Population estimates from 1926,1997,16,1,Male,Number,36823,15-24 years old
Population estimates from 1926,1997,16,2,Female,Number,34827,15-24 years old
Population estimates from 1926,1997,17,1,Male,Number,37137,15-24 years old
Population estimates from 1926,1997,17,2,Female,Number,34915,15-24 years old
Population estimates from 1926,1997,18,1,Male,Number,33986,15-24 years old
Population estimates from 1926,1997,18,2,Female,Number,33050,15-24 years old
Population estimates from 1926,1997,19,1,Male,Number,32507,15-24 years old
Population estimates from 1926,1997,19,2,Female,Number,30736,15-24 years old
Population estimates from 1926,1997,20,1,Male,Number,31100,15-24 years old
Population estimates from 1926,1997,20,2,Female,Number,30318,15-24 years old
Population estimates from 1926,1997,21,1,Male,Number,31303,15-24 years old
Population estimates from 1926,1997,21,2,Female,Number,29920,15-24 years old
Population estimates from 1926,1997,22,1,Male,Number,30518,15-24 years old
Population estimates from 1926,1997,22,2,Female,Number,29200,15-24 years old
Population estimates from 1926,1997,23,1,Male,Number,29345,15-24 years old
Population estimates from 1926,1997,23,2,Female,Number,28170,15-24 years old
Population estimates from 1926,1997,24,1,Male,Number,29005,15-24 years old
Population estimates from 1926,1997,24,2,Female,Number,28271,15-24 years old
Population estimates from 1926,1997,25,1,Male,Number,28436,25-44 years old
Population estimates from 1926,1997,25,2,Female,Number,28040,25-44 years old
Population estimates from 1926,1997,26,1,Male,Number,27052,25-44 years old
Population estimates from 1926,1997,26,2,Female,Number,27175,25-44 years old
Population estimates from 1926,1997,27,1,Male,Number,26019,25-44 years old
Population estimates from 1926,1997,27,2,Female,Number,26370,25-44 years old
Population estimates from 1926,1997,28,1,Male,Number,25575,25-44 years old
Population estimates from 1926,1997,28,2,Female,Number,25417,25-44 years old
Population estimates from 1926,1997,29,1,Male,Number,24872,25-44 years old
Population estimates from 1926,1997,29,2,Female,Number,25458,25-44 years old
Population estimates from 1926,1997,30,1,Male,Number,25307,25-44 years old
Population estimates from 1926,1997,30,2,Female,Number,25975,25-44 years old
Population estimates from 1926,1997,31,1,Male,Number,25698,25-44 years old
Population estimates from 1926,1997,31,2,Female,Number,26766,25-44 years old
Population estimates from 1926,1997,32,1,Male,Number,26190,25-44 years old
Population estimates from 1926,1997,32,2,Female,Number,27676,25-44 years old
Population estimates from 1926,1997,33,1,Male,Number,26390,25-44 years old
Population estimates from 1926,1997,33,2,Female,Number,27261,25-44 years old
Population estimates from 1926,1997,34,1,Male,Number,26348,25-44 years old
Population estimates from 1926,1997,34,2,Female,Number,27500,25-44 years old
Population estimates from 1926,1997,35,1,Male,Number,25907,25-44 years old
Population estimates from 1926,1997,35,2,Female,Number,26618,25-44 years old
Population estimates from 1926,1997,36,1,Male,Number,26516,25-44 years old
Population estimates from 1926,1997,36,2,Female,Number,27319,25-44 years old
Population estimates from 1926,1997,37,1,Male,Number,25746,25-44 years old
Population estimates from 1926,1997,37,2,Female,Number,26592,25-44 years old
Population estimates from 1926,1997,38,1,Male,Number,25275,25-44 years old
Population estimates from 1926,1997,38,2,Female,Number,25714,25-44 years old
Population estimates from 1926,1997,39,1,Male,Number,25238,25-44 years old
Population estimates from 1926,1997,39,2,Female,Number,25789,25-44 years old
Population estimates from 1926,1997,40,1,Male,Number,25359,25-44 years old
Population estimates from 1926,1997,40,2,Female,Number,25670,25-44 years old
Population estimates from 1926,1997,41,1,Male,Number,24766,25-44 years old
Population estimates from 1926,1997,41,2,Female,Number,24868,25-44 years old
Population estimates from 1926,1997,42,1,Male,Number,24740,25-44 years old
Population estimates from 1926,1997,42,2,Female,Number,24920,25-44 years old
Population estimates from 1926,1997,43,1,Male,Number,23785,25-44 years old
Population estimates from 1926,1997,43,2,Female,Number,24126,25-44 years old
Population estimates from 1926,1997,44,1,Male,Number,24677,25-44 years old
Population estimates from 1926,1997,44,2,Female,Number,24451,25-44 years old
Population estimates from 1926,1997,45,1,Male,Number,23112,45-64 years old
Population estimates from 1926,1997,45,2,Female,Number,22857,45-64 years old
Population estimates from 1926,1997,46,1,Male,Number,22881,45-64 years old
Population estimates from 1926,1997,46,2,Female,Number,22716,45-64 years old
Population estimates from 1926,1997,47,1,Male,Number,22945,45-64 years old
Population estimates from 1926,1997,47,2,Female,Number,22903,45-64 years old
Population estimates from 1926,1997,48,1,Male,Number,23105,45-64 years old
Population estimates from 1926,1997,48,2,Female,Number,22813,45-64 years old
Population estimates from 1926,1997,49,1,Male,Number,22806,45-64 years old
Population estimates from 1926,1997,49,2,Female,Number,22087,45-64 years old
Population estimates from 1926,1997,50,1,Male,Number,22523,45-64 years old
Population estimates from 1926,1997,50,2,Female,Number,21461,45-64 years old
Population estimates from 1926,1997,51,1,Male,Number,21801,45-64 years old
Population estimates from 1926,1997,51,2,Female,Number,20969,45-64 years old
Population estimates from 1926,1997,52,1,Male,Number,19560,45-64 years old
Population estimates from 1926,1997,52,2,Female,Number,19186,45-64 years old
Population estimates from 1926,1997,53,1,Male,Number,18860,45-64 years old
Population estimates from 1926,1997,53,2,Female,Number,18106,45-64 years old
Population estimates from 1926,1997,54,1,Male,Number,18024,45-64 years old
Population estimates from 1926,1997,54,2,Female,Number,17832,45-64 years old
Population estimates from 1926,1997,55,1,Male,Number,16656,45-64 years old
Population estimates from 1926,1997,55,2,Female,Number,15761,45-64 years old
Population estimates from 1926,1997,56,1,Male,Number,15792,45-64 years old
Population estimates from 1926,1997,56,2,Female,Number,15333,45-64 years old
Population estimates from 1926,1997,57,1,Male,Number,16392,45-64 years old
Population estimates from 1926,1997,57,2,Female,Number,15869,45-64 years old
Population estimates from 1926,1997,58,1,Male,Number,15686,45-64 years old
Population estimates from 1926,1997,58,2,Female,Number,15476,45-64 years old
Population estimates from 1926,1997,59,1,Male,Number,14666,45-64 years old
Population estimates from 1926,1997,59,2,Female,Number,14453,45-64 years old
Population estimates from 1926,1997,60,1,Male,Number,14929,45-64 years old
Population estimates from 1926,1997,60,2,Female,Number,14934,45-64 years old
Population estimates from 1926,1997,61,1,Male,Number,14591,45-64 years old
Population estimates from 1926,1997,61,2,Female,Number,14521,45-64 years old
Population estimates from 1926,1997,62,1,Male,Number,13785,45-64 years old
Population estimates from 1926,1997,62,2,Female,Number,14097,45-64 years old
Population estimates from 1926,1997,63,1,Male,Number,13578,45-64 years old
Population estimates from 1926,1997,63,2,Female,Number,13582,45-64 years old
Population estimates from 1926,1997,64,1,Male,Number,13307,45-64 years old
Population estimates from 1926,1997,64,2,Female,Number,13622,45-64 years old
Population estimates from 1926,1997,65,1,Male,Number,12874,65 and over
Population estimates from 1926,1997,65,2,Female,Number,13240,65 and over
Population estimates from 1926,1997,66,1,Male,Number,12756,65 and over
Population estimates from 1926,1997,66,2,Female,Number,13378,65 and over
Population estimates from 1926,1997,67,1,Male,Number,12535,65 and over
Population estimates from 1926,1997,67,2,Female,Number,13371,65 and over
Population estimates from 1926,1997,68,1,Male,Number,11745,65 and over
Population estimates from 1926,1997,68,2,Female,Number,13004,65 and over
Population estimates from 1926,1997,69,1,Male,Number,10963,65 and over
Population estimates from 1926,1997,69,2,Female,Number,12857,65 and over
Population estimates from 1926,1997,70,1,Male,Number,10907,65 and over
Population estimates from 1926,1997,70,2,Female,Number,13059,65 and over
Population estimates from 1926,1997,71,1,Male,Number,10431,65 and over
Population estimates from 1926,1997,71,2,Female,Number,12777,65 and over
Population estimates from 1926,1997,72,1,Male,Number,10061,65 and over
Population estimates from 1926,1997,72,2,Female,Number,12538,65 and over
Population estimates from 1926,1997,73,1,Male,Number,9617,65 and over
Population estimates from 1926,1997,73,2,Female,Number,12098,65 and over
Population estimates from 1926,1997,74,1,Male,Number,9215,65 and over
Population estimates from 1926,1997,74,2,Female,Number,12127,65 and over
Population estimates from 1926,1997,75,1,Male,Number,8413,65 and over
Population estimates from 1926,1997,75,2,Female,Number,11081,65 and over
Population estimates from 1926,1997,76,1,Male,Number,8099,65 and over
Population estimates from 1926,1997,76,2,Female,Number,10972,65 and over
Population estimates from 1926,1997,77,1,Male,Number,7401,65 and over
Population estimates from 1926,1997,77,2,Female,Number,10355,65 and over
Population estimates from 1926,1997,78,1,Male,Number,6381,65 and over
Population estimates from 1926,1997,78,2,Female,Number,9197,65 and over
Population estimates from 1926,1997,79,1,Male,Number,5336,65 and over
Population estimates from 1926,1997,79,2,Female,Number,7787,65 and over
Population estimates from 1926,1997,80,1,Male,Number,5277,65 and over
Population estimates from 1926,1997,80,2,Female,Number,8155,65 and over
Population estimates from 1926,1997,81,1,Male,Number,4709,65 and over
Population estimates from 1926,1997,81,2,Female,Number,7327,65 and over
Population estimates from 1926,1997,82,1,Male,Number,4183,65 and over
Population estimates from 1926,1997,82,2,Female,Number,7179,65 and over
Population estimates from 1926,1997,83,1,Male,Number,3537,65 and over
Population estimates from 1926,1997,83,2,Female,Number,6455,65 and over
Population estimates from 1926,1997,84,1,Male,Number,3190,65 and over
Population estimates from 1926,1997,84,2,Female,Number,5824,65 and over
Population estimates from 1926,1997,85,1,Male,Number,2757,65 and over
Population estimates from 1926,1997,85,2,Female,Number,4883,65 and over
Population estimates from 1926,1997,86,1,Male,Number,2095,65 and over
Population estimates from 1926,1997,86,2,Female,Number,4255,65 and over
Population estimates from 1926,1997,87,1,Male,Number,1687,65 and over
Population estimates from 1926,1997,87,2,Female,Number,3564,65 and over
Population estimates from 1926,1997,88,1,Male,Number,1198,65 and over
Population estimates from 1926,1997,88,2,Female,Number,2780,65 and over
Population estimates from 1926,1997,89,1,Male,Number,936,65 and over
Population estimates from 1926,1997,89,2,Female,Number,2177,65 and over
Population estimates from 1926,1997,90,1,Male,Number,633,65 and over
Population estimates from 1926,1997,90,2,Female,Number,1894,65 and over
Population estimates from 1926,1997,91,1,Male,Number,521,65 and over
Population estimates from 1926,1997,91,2,Female,Number,1469,65 and over
Population estimates from 1926,1997,92,1,Male,Number,386,65 and over
Population estimates from 1926,1997,92,2,Female,Number,1076,65 and over
Population estimates from 1926,1997,93,1,Male,Number,223,65 and over
Population estimates from 1926,1997,93,2,Female,Number,830,65 and over
Population estimates from 1926,1997,94,1,Male,Number,190,65 and over
Population estimates from 1926,1997,94,2,Female,Number,680,65 and over
Population estimates from 1926,1997,95,1,Male,Number,136,65 and over
Population estimates from 1926,1997,95,2,Female,Number,393,65 and over
Population estimates from 1926,1997,96,1,Male,Number,62,65 and over
Population estimates from 1926,1997,96,2,Female,Number,347,65 and over
Population estimates from 1926,1997,97,1,Male,Number,33,65 and over
Population estimates from 1926,1997,97,2,Female,Number,173,65 and over
Population estimates from 1926,1997,98,1,Male,Number,41,65 and over
Population estimates from 1926,1997,98,2,Female,Number,114,65 and over
Population estimates from 1926,1997,99,1,Male,Number,72,65 and over
Population estimates from 1926,1997,99,2,Female,Number,240,65 and over
Population estimates from 1926,1998,0,1,Male,Number,27036,0-14 years old
Population estimates from 1926,1998,0,2,Female,Number,25564,0-14 years old
Population estimates from 1926,1998,1,1,Male,Number,26427,0-14 years old
Population estimates from 1926,1998,1,2,Female,Number,24753,0-14 years old
Population estimates from 1926,1998,2,1,Male,Number,25962,0-14 years old
Population estimates from 1926,1998,2,2,Female,Number,24257,0-14 years old
Population estimates from 1926,1998,3,1,Male,Number,25517,0-14 years old
Population estimates from 1926,1998,3,2,Female,Number,23995,0-14 years old
Population estimates from 1926,1998,4,1,Male,Number,25849,0-14 years old
Population estimates from 1926,1998,4,2,Female,Number,24307,0-14 years old
Population estimates from 1926,1998,5,1,Male,Number,26734,0-14 years old
Population estimates from 1926,1998,5,2,Female,Number,25359,0-14 years old
Population estimates from 1926,1998,6,1,Male,Number,27556,0-14 years old
Population estimates from 1926,1998,6,2,Female,Number,26628,0-14 years old
Population estimates from 1926,1998,7,1,Male,Number,28962,0-14 years old
Population estimates from 1926,1998,7,2,Female,Number,27141,0-14 years old
Population estimates from 1926,1998,8,1,Male,Number,28417,0-14 years old
Population estimates from 1926,1998,8,2,Female,Number,27298,0-14 years old
Population estimates from 1926,1998,9,1,Male,Number,28584,0-14 years old
Population estimates from 1926,1998,9,2,Female,Number,27126,0-14 years old
Population estimates from 1926,1998,10,1,Male,Number,29377,0-14 years old
Population estimates from 1926,1998,10,2,Female,Number,28342,0-14 years old
Population estimates from 1926,1998,11,1,Male,Number,31416,0-14 years old
Population estimates from 1926,1998,11,2,Female,Number,29494,0-14 years old
Population estimates from 1926,1998,12,1,Male,Number,31644,0-14 years old
Population estimates from 1926,1998,12,2,Female,Number,30080,0-14 years old
Population estimates from 1926,1998,13,1,Male,Number,32251,0-14 years old
Population estimates from 1926,1998,13,2,Female,Number,30296,0-14 years old
Population estimates from 1926,1998,14,1,Male,Number,33579,0-14 years old
Population estimates from 1926,1998,14,2,Female,Number,31843,0-14 years old
Population estimates from 1926,1998,15,1,Male,Number,34838,15-24 years old
