STATISTIC Label,Year,Age Group,Sex,Inward or Outward Flow,UNIT,VALUE
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Immigrants: All origins,Thousand,2900.0
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Net migration,Thousand,-2600.0000000000005
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Emigrants: All destinations,Thousand,10400.0
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Immigrants: All origins,Thousand,7800.0
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Net migration,Thousand,-3099.9999999999995
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Emigrants: All destinations,Thousand,9000.0
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Immigrants: All origins,Thousand,5900.0
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Net migration,Thousand,6399.999999999999
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Emigrants: All destinations,Thousand,2200.0
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Immigrants: All origins,Thousand,8600.0
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Net migration,Thousand,6199.999999999999
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Emigrants: All destinations,Thousand,3400.0
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Immigrants: All origins,Thousand,9600.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Net migration,Thousand,2000.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Immigrants: All origins,Thousand,2000.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Net migration,Thousand,2700.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Immigrants: All origins,Thousand,2700.0
Estimated Migration (Persons in April),1997,65 years and over,Female,Net migration,Thousand,700.0
Estimated Migration (Persons in April),1997,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Female,Immigrants: All origins,Thousand,700.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Net migration,Thousand,800.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Immigrants: All origins,Thousand,800.0
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Net migration,Thousand,2899.9999999999995
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Emigrants: All destinations,Thousand,1200.0
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Immigrants: All origins,Thousand,4100.0
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Net migration,Thousand,3000.0
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Immigrants: All origins,Thousand,3400.0
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Net migration,Thousand,-3600.0000000000005
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Emigrants: All destinations,Thousand,10900.0
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Immigrants: All origins,Thousand,7300.0
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Net migration,Thousand,-5000.0
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Emigrants: All destinations,Thousand,10100.0
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Immigrants: All origins,Thousand,5100.0
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Net migration,Thousand,6300.000000000001
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Emigrants: All destinations,Thousand,2500.0
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Immigrants: All origins,Thousand,8800.0
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Net migration,Thousand,7899.999999999999
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Emigrants: All destinations,Thousand,3200.0
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Immigrants: All origins,Thousand,11100.0
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Net migration,Thousand,2200.0
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Immigrants: All origins,Thousand,2200.0
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Net migration,Thousand,1900.0000000000002
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Emigrants: All destinations,Thousand,200.0
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Immigrants: All origins,Thousand,2100.0
Estimated Migration (Persons in April),1998,65 years and over,Female,Net migration,Thousand,900.0
Estimated Migration (Persons in April),1998,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,65 years and over,Female,Immigrants: All origins,Thousand,900.0
Estimated Migration (Persons in April),1998,65 years and over,Male,Net migration,Thousand,900.0
Estimated Migration (Persons in April),1998,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,65 years and over,Male,Immigrants: All origins,Thousand,900.0
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Net migration,Thousand,3400.0
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Immigrants: All origins,Thousand,3400.0
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Net migration,Thousand,3600.0
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Immigrants: All origins,Thousand,3600.0
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Net migration,Thousand,-3500.0
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Emigrants: All destinations,Thousand,12700.0
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Immigrants: All origins,Thousand,9200.0
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Net migration,Thousand,-4300.000000000001
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Emigrants: All destinations,Thousand,10400.0
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Immigrants: All origins,Thousand,6100.0
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Net migration,Thousand,6900.0
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Emigrants: All destinations,Thousand,3000.0
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Immigrants: All origins,Thousand,9900.0
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Net migration,Thousand,7100.0
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Emigrants: All destinations,Thousand,4600.0
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Immigrants: All origins,Thousand,11700.0
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Net migration,Thousand,1300.0
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Emigrants: All destinations,Thousand,300.0
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Immigrants: All origins,Thousand,1600.0
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Net migration,Thousand,2500.0
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Immigrants: All origins,Thousand,2500.0
Estimated Migration (Persons in April),1999,65 years and over,Female,Net migration,Thousand,199.99999999999997
Estimated Migration (Persons in April),1999,65 years and over,Female,Emigrants: All destinations,Thousand,100.0
Estimated Migration (Persons in April),1999,65 years and over,Female,Immigrants: All origins,Thousand,300.0
Estimated Migration (Persons in April),1999,65 years and over,Male,Net migration,Thousand,199.99999999999994
Estimated Migration (Persons in April),1999,65 years and over,Male,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),1999,65 years and over,Male,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Net migration,Thousand,3600.0
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Immigrants: All origins,Thousand,3600.0
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Net migration,Thousand,3600.0
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Immigrants: All origins,Thousand,3600.0
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Net migration,Thousand,-1099.9999999999995
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Emigrants: All destinations,Thousand,11200.0
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Immigrants: All origins,Thousand,10100.0
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Net migration,Thousand,-3399.9999999999995
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Emigrants: All destinations,Thousand,10200.0
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Immigrants: All origins,Thousand,6800.0
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Net migration,Thousand,8700.0
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Emigrants: All destinations,Thousand,2000.0
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Immigrants: All origins,Thousand,10700.0
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Net migration,Thousand,10100.0
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Emigrants: All destinations,Thousand,2600.0
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Immigrants: All origins,Thousand,12700.0
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Net migration,Thousand,1299.9999999999998
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Emigrants: All destinations,Thousand,100.0
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Immigrants: All origins,Thousand,1400.0
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Net migration,Thousand,2600.0
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Immigrants: All origins,Thousand,2600.0
Estimated Migration (Persons in April),2000,65 years and over,Female,Net migration,Thousand,300.0
Estimated Migration (Persons in April),2000,65 years and over,Female,Emigrants: All destinations,Thousand,300.0
Estimated Migration (Persons in April),2000,65 years and over,Female,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),2000,65 years and over,Male,Net migration,Thousand,300.0
Estimated Migration (Persons in April),2000,65 years and over,Male,Emigrants: All destinations,Thousand,300.0
Estimated Migration (Persons in April),2000,65 years and over,Male,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Net migration,Thousand,3800.0
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Immigrants: All origins,Thousand,3800.0
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Net migration,Thousand,4100.0
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Immigrants: All origins,Thousand,4100.0
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Net migration,Thousand,-1500.0
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Emigrants: All destinations,Thousand,11300.0
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Immigrants: All origins,Thousand,9800.0
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Net migration,Thousand,-3300.000000000001
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Emigrants: All destinations,Thousand,9900.0
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Immigrants: All origins,Thousand,6600.0
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Net migration,Thousand,11200.0
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Emigrants: All destinations,Thousand,2000.0
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Immigrants: All origins,Thousand,13200.0
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Net migration,Thousand,13900.0
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Emigrants: All destinations,Thousand,2400.0
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Immigrants: All origins,Thousand,16300.0
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Net migration,Thousand,1800.0
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Immigrants: All origins,Thousand,1800.0
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Net migration,Thousand,2500.0
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Immigrants: All origins,Thousand,2500.0
Estimated Migration (Persons in April),2001,65 years and over,Female,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2001,65 years and over,Female,Emigrants: All destinations,Thousand,300.0
Estimated Migration (Persons in April),2001,65 years and over,Female,Immigrants: All origins,Thousand,300.0
Estimated Migration (Persons in April),2001,65 years and over,Male,Net migration,Thousand,99.99999999999997
Estimated Migration (Persons in April),2001,65 years and over,Male,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),2001,65 years and over,Male,Immigrants: All origins,Thousand,500.0
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Net migration,Thousand,2599.9999999999995
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Emigrants: All destinations,Thousand,1200.0
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Immigrants: All origins,Thousand,3800.0
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Net migration,Thousand,2000.0
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Emigrants: All destinations,Thousand,1200.0
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Immigrants: All origins,Thousand,3200.0
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Net migration,Thousand,2000.0
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Emigrants: All destinations,Thousand,9800.0
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Immigrants: All origins,Thousand,11800.0
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Net migration,Thousand,-1000.0
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Emigrants: All destinations,Thousand,9000.0
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Immigrants: All origins,Thousand,8000.0
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Net migration,Thousand,16300.0
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Emigrants: All destinations,Thousand,1400.0
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Immigrants: All origins,Thousand,17700.0
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Net migration,Thousand,15800.0
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Emigrants: All destinations,Thousand,1700.0
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Immigrants: All origins,Thousand,17500.0
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Net migration,Thousand,1799.9999999999998
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Emigrants: All destinations,Thousand,100.0
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Immigrants: All origins,Thousand,1900.0
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Net migration,Thousand,2300.0
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Immigrants: All origins,Thousand,2300.0
Estimated Migration (Persons in April),2002,65 years and over,Female,Net migration,Thousand,99.99999999999997
Estimated Migration (Persons in April),2002,65 years and over,Female,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),2002,65 years and over,Female,Immigrants: All origins,Thousand,500.0
Estimated Migration (Persons in April),2002,65 years and over,Male,Net migration,Thousand,-500.0
Estimated Migration (Persons in April),2002,65 years and over,Male,Emigrants: All destinations,Thousand,800.0
Estimated Migration (Persons in April),2002,65 years and over,Male,Immigrants: All origins,Thousand,300.0
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Net migration,Thousand,3500.0
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Emigrants: All destinations,Thousand,200.0
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Immigrants: All origins,Thousand,3700.0
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Net migration,Thousand,2900.0000000000005
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Emigrants: All destinations,Thousand,700.0
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Immigrants: All origins,Thousand,3600.0
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Net migration,Thousand,2100.0000000000005
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Emigrants: All destinations,Thousand,7700.0
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Immigrants: All origins,Thousand,9800.0
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Net migration,Thousand,-1500.000000000001
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Emigrants: All destinations,Thousand,9300.0
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Immigrants: All origins,Thousand,7800.0
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Net migration,Thousand,9600.0
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Emigrants: All destinations,Thousand,3100.0
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Immigrants: All origins,Thousand,12700.0
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Net migration,Thousand,10300.0
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Emigrants: All destinations,Thousand,5700.0
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Immigrants: All origins,Thousand,16000.0
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Net migration,Thousand,1000.0
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Emigrants: All destinations,Thousand,700.0
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Immigrants: All origins,Thousand,1700.0
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Net migration,Thousand,2800.0
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Emigrants: All destinations,Thousand,600.0
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Immigrants: All origins,Thousand,3400.0
Estimated Migration (Persons in April),2003,65 years and over,Female,Net migration,Thousand,99.99999999999997
Estimated Migration (Persons in April),2003,65 years and over,Female,Emigrants: All destinations,Thousand,600.0
Estimated Migration (Persons in April),2003,65 years and over,Female,Immigrants: All origins,Thousand,700.0
Estimated Migration (Persons in April),2003,65 years and over,Male,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2003,65 years and over,Male,Emigrants: All destinations,Thousand,700.0
Estimated Migration (Persons in April),2003,65 years and over,Male,Immigrants: All origins,Thousand,700.0
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Net migration,Thousand,1800.0000000000002
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Emigrants: All destinations,Thousand,900.0
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Immigrants: All origins,Thousand,2700.0
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Net migration,Thousand,2900.0
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Emigrants: All destinations,Thousand,600.0
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Immigrants: All origins,Thousand,3500.0
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Net migration,Thousand,2800.0
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Emigrants: All destinations,Thousand,7800.0
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Immigrants: All origins,Thousand,10600.0
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Net migration,Thousand,1799.9999999999998
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Emigrants: All destinations,Thousand,6300.0
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Immigrants: All origins,Thousand,8100.0
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Net migration,Thousand,8600.0
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Emigrants: All destinations,Thousand,3900.0
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Immigrants: All origins,Thousand,12500.0
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Net migration,Thousand,11000.0
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Emigrants: All destinations,Thousand,5300.0
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Immigrants: All origins,Thousand,16300.0
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Net migration,Thousand,800.0
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Emigrants: All destinations,Thousand,1000.0
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Immigrants: All origins,Thousand,1800.0
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Net migration,Thousand,2000.0
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Immigrants: All origins,Thousand,2400.0
Estimated Migration (Persons in April),2004,65 years and over,Female,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2004,65 years and over,Female,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),2004,65 years and over,Female,Immigrants: All origins,Thousand,400.0
Estimated Migration (Persons in April),2004,65 years and over,Male,Net migration,Thousand,300.0
Estimated Migration (Persons in April),2004,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2004,65 years and over,Male,Immigrants: All origins,Thousand,300.0
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Net migration,Thousand,2699.9999999999995
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Emigrants: All destinations,Thousand,1100.0
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Immigrants: All origins,Thousand,3800.0
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Net migration,Thousand,3100.0
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Emigrants: All destinations,Thousand,1100.0
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Immigrants: All origins,Thousand,4200.0
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Net migration,Thousand,5100.0
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Emigrants: All destinations,Thousand,7600.0
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Immigrants: All origins,Thousand,12700.0
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Net migration,Thousand,4899.999999999999
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Emigrants: All destinations,Thousand,6700.0
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Immigrants: All origins,Thousand,11600.0
Estimated Migration (Persons in April),2005,25 - 44 years,Female,Net migration,Thousand,13000.0
Estimated Migration (Persons in April),2005,25 - 44 years,Female,Emigrants: All destinations,Thousand,4500.0
Estimated Migration (Persons in April),2005,25 - 44 years,Female,Immigrants: All origins,Thousand,17500.0
Estimated Migration (Persons in April),2005,25 - 44 years,Male,Net migration,Thousand,21200.000000000004
Estimated Migration (Persons in April),2005,25 - 44 years,Male,Emigrants: All destinations,Thousand,6100.0
Estimated Migration (Persons in April),2005,25 - 44 years,Male,Immigrants: All origins,Thousand,27300.0
Estimated Migration (Persons in April),2005,45 - 64 years,Female,Net migration,Thousand,1700.0
Estimated Migration (Persons in April),2005,45 - 64 years,Female,Emigrants: All destinations,Thousand,800.0
Estimated Migration (Persons in April),2005,45 - 64 years,Female,Immigrants: All origins,Thousand,2500.0
Estimated Migration (Persons in April),2005,45 - 64 years,Male,Net migration,Thousand,3100.0
Estimated Migration (Persons in April),2005,45 - 64 years,Male,Emigrants: All destinations,Thousand,600.0
Estimated Migration (Persons in April),2005,45 - 64 years,Male,Immigrants: All origins,Thousand,3700.0
Estimated Migration (Persons in April),2005,65 years and over,Female,Net migration,Thousand,99.99999999999997
Estimated Migration (Persons in April),2005,65 years and over,Female,Emigrants: All destinations,Thousand,500.0
Estimated Migration (Persons in April),2005,65 years and over,Female,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),2005,65 years and over,Male,Net migration,Thousand,199.99999999999994
Estimated Migration (Persons in April),2005,65 years and over,Male,Emigrants: All destinations,Thousand,400.0
